pygame 2.5.2 (SDL 2.28.2, Python 3.11.8)
Hello from the pygame community. https://www.pygame.org/contribute.html
         5326381 function calls (5320367 primitive calls) in 124.085 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      101    0.008    0.000    0.008    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.008    0.008 specifiers.py:317(Specifier)
        1    0.000    0.000    0.007    0.007 subprocess.py:506(run)
        1    0.000    0.000    0.007    0.007 pyparsing.py:5399(pyparsing_common)
        1    0.000    0.000    0.007    0.007 main.py:86(__init__)
    11705    0.003    0.000    0.007    0.000 _parser.py:261(get)
       22    0.000    0.000    0.007    0.000 {built-in method builtins.sorted}
       14    0.000    0.000    0.007    0.000 __init__.py:2011(_by_version_descending)
        1    0.000    0.000    0.006    0.006 subprocess.py:1165(communicate)
        1    0.000    0.000    0.006    0.006 subprocess.py:2060(_communicate)
       81    0.006    0.000    0.006    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.006    0.006 ssl.py:1(<module>)
        4    0.000    0.000    0.006    0.002 selectors.py:402(select)
        4    0.006    0.001    0.006    0.001 {method 'poll' of 'select.poll' objects}
    67948    0.006    0.000    0.006    0.000 {method 'get_height' of 'pygame.surface.Surface' objects}
     7554    0.006    0.000    0.006    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.006    0.006 main.py:306(__init__)
       14    0.000    0.000    0.005    0.000 __init__.py:2116(safe_listdir)
        1    0.000    0.000    0.005    0.005 main.py:149(__init__)
        2    0.000    0.000    0.005    0.002 version.py:1(<module>)
       13    0.000    0.000    0.005    0.000 enum.py:893(_convert_)
        1    0.000    0.000    0.005    0.005 sysfont.py:1(<module>)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
        1    0.000    0.000    0.004    0.004 header.py:1(<module>)
      133    0.004    0.000    0.004    0.000 {built-in method io.open_code}
    13059    0.004    0.000    0.004    0.000 _parser.py:240(__next)
        2    0.000    0.000    0.004    0.002 subprocess.py:1(<module>)
        1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:975(exec_module)
        1    0.000    0.000    0.004    0.004 <frozen ntpath>:1(<module>)
        1    0.000    0.000    0.004    0.004 plistlib.py:1(<module>)
      108    0.000    0.000    0.004    0.000 __init__.py:2132(distributions_from_metadata)
     7796    0.003    0.000    0.003    0.000 {method 'extend' of 'list' objects}
        1    0.001    0.001    0.003    0.003 main.py:1011(_saveGame)
      436    0.002    0.000    0.003    0.000 version.py:261(__init__)
       17    0.001    0.000    0.003    0.000 enum.py:1653(convert_class)
       12    0.000    0.000    0.003    0.000 pyparsing.py:4251(__init__)
        1    0.000    0.000    0.003    0.003 platform.py:1(<module>)
        1    0.000    0.000    0.003    0.003 events.py:1(<module>)
    36/11    0.000    0.000    0.003    0.000 pyparsing.py:3743(leaveWhitespace)
      471    0.000    0.000    0.003    0.000 pyparsing.py:1167(copy)
       54    0.000    0.000    0.003    0.000 __init__.py:2035(_by_version)
      344    0.002    0.000    0.003    0.000 _compiler.py:243(_optimize_charset)
     7557    0.003    0.000    0.003    0.000 base_events.py:1954(get_debug)
